# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: D:\EE\EE314\Project\QuartusProjectFiles\SaleTerminal.csv
# Generated on: Wed Jul 14 13:57:44 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
IRDA_TXD,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
PS2_CLK,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
PS2_DAT,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
PS2_CLK2,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
PS2_DAT2,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
SW[3],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
SW[4],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
SW[5],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
SW[6],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
SW[7],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
SW[8],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
SW[9],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
TD_CLK27,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
TD_DATA[0],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
TD_DATA[1],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
TD_DATA[2],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
TD_DATA[3],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
TD_DATA[4],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
TD_DATA[5],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
TD_DATA[6],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
TD_DATA[7],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
TD_HS,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
TD_RESET_N,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
TD_VS,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
USB_B2_CLK,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
USB_B2_DATA[0],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
USB_B2_DATA[1],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
USB_B2_DATA[2],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
USB_B2_DATA[3],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
USB_B2_DATA[4],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
USB_B2_DATA[5],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
USB_B2_DATA[6],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
USB_B2_DATA[7],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
USB_EMPTY,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
USB_FULL,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
USB_OE_N,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
USB_RD_N,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
USB_RESET_N,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
USB_SCL,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
USB_SDA,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
USB_WR_N,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_CONV_USB_N,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_DDR3_ADDR[0],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[1],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[2],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[3],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[4],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[5],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[6],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[7],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[8],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[9],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[10],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[11],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[12],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[13],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[14],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_BA[0],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_BA[1],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_BA[2],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_CAS_N,Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_CKE,Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_CK_N,Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_CK_P,,,,,,,,,
HPS_DDR3_CK_P,Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_CK_N,,,,,,,,,
HPS_DDR3_CS_N,Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_DM[0],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DM[1],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DM[2],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DM[3],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[0],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[1],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[2],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[3],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[4],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[5],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[6],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[7],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[8],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[9],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[10],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[11],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[12],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[13],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[14],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[15],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[16],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[17],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[18],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[19],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[20],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[21],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[22],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[23],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[24],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[25],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[26],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[27],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[28],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[29],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[30],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[31],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQS_N[0],Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[0](n),,,,,,,,,
HPS_DDR3_DQS_N[0](n),Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[0],,,,,,,,,
HPS_DDR3_DQS_N[1],Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[1](n),,,,,,,,,
HPS_DDR3_DQS_N[1](n),Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[1],,,,,,,,,
HPS_DDR3_DQS_N[2],Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[2](n),,,,,,,,,
HPS_DDR3_DQS_N[2](n),Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[2],,,,,,,,,
HPS_DDR3_DQS_N[3],Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[3](n),,,,,,,,,
HPS_DDR3_DQS_N[3](n),Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[3],,,,,,,,,
HPS_DDR3_DQS_P[0],Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[0](n),,,,,,,,,
HPS_DDR3_DQS_P[0](n),Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[0],,,,,,,,,
HPS_DDR3_DQS_P[1],Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[1](n),,,,,,,,,
HPS_DDR3_DQS_P[1](n),Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[1],,,,,,,,,
HPS_DDR3_DQS_P[2],Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[2](n),,,,,,,,,
HPS_DDR3_DQS_P[2](n),Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[2],,,,,,,,,
HPS_DDR3_DQS_P[3],Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[3](n),,,,,,,,,
HPS_DDR3_DQS_P[3](n),Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[3],,,,,,,,,
HPS_DDR3_ODT,Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_RAS_N,Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_RESET_N,Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_RZQ,Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_WE_N,Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_ENET_GTX_CLK,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_INT_N,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_MDC,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_MDIO,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_CLK,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DATA[0],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DATA[1],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DATA[2],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DATA[3],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DV,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_DATA[0],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_DATA[1],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_DATA[2],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_DATA[3],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_EN,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_FLASH_DATA[0],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_FLASH_DATA[1],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_FLASH_DATA[2],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_FLASH_DATA[3],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_FLASH_DCLK,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_FLASH_NCSO,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_GSENSOR_INT,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_I2C1_SCLK,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_I2C1_SDAT,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_I2C2_SCLK,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_I2C2_SDAT,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_I2C_CONTROL,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_KEY,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_LED,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_LTC_GPIO,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_CLK,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_CMD,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_DATA[0],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_DATA[1],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_DATA[2],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_DATA[3],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SPIM_CLK,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SPIM_MISO,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SPIM_MOSI,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SPIM_SS,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_UART_RX,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_UART_TX,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_CLKOUT,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[0],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[1],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[2],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[3],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[4],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[5],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[6],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[7],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DIR,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_NXT,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_STP,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_GPIO[0],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_GPIO[1],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
