# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: D:\EE\EE314\Project\QuartusProjectFiles\SaleTerminal.csv
# Generated on: Wed Jul 14 13:57:44 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
VGA_R[5],Output,PIN_D12,8A,B8A_N0,PIN_D12,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[4],Output,PIN_C12,8A,B8A_N0,PIN_C12,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[3],Output,PIN_B12,8A,B8A_N0,PIN_B12,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[2],Output,PIN_E13,8A,B8A_N0,PIN_E13,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[1],Output,PIN_C13,8A,B8A_N0,PIN_C13,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[0],Output,PIN_A13,8A,B8A_N0,PIN_A13,3.3-V LVTTL,,,,,,,,,,,,,
VGA_SYNC_N,Output,PIN_C10,8A,B8A_N0,PIN_C10,3.3-V LVTTL,,,,,,,,,,,,,
VGA_VS,Output,PIN_D11,8A,B8A_N0,PIN_D11,3.3-V LVTTL,,,,,,,,,,,,,
ADC_CS_N,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DIN,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DOUT,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
ADC_SCLK,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
AUD_ADCDAT,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
AUD_ADCLRCK,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
AUD_BCLK,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
AUD_DACDAT,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
AUD_DACLRCK,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
AUD_XCK,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
CLOCK2_50,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
CLOCK3_50,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
CLOCK4_50,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[0],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[1],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[2],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[3],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[4],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[5],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[6],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[7],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[8],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[9],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[10],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[11],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[12],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_BA[0],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_BA[1],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CAS_N,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CKE,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CLK,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CS_N,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[0],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[1],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[2],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[3],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[4],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[5],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[6],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
